,parcel_id,beds,baths,square_feet,tax_value,tax_amount,fips,tax_rate,County
0,14634203,3.0,2.0,1125.0,289445.0,3490.16,6059.0,0.012058111212838363,Orange
1,11721753,3.0,2.0,1316.0,205123.0,2627.48,6037.0,0.012809290035734658,Los Angeles
2,11289917,3.0,2.0,1458.0,136104.0,2319.9,6037.0,0.017045053782401693,Los Angeles
3,11637029,3.0,2.0,1766.0,810694.0,9407.01,6037.0,0.01160365069927741,Los Angeles
4,11705026,2.0,1.0,1421.0,35606.0,543.69,6037.0,0.015269617480199968,Los Angeles
5,14269464,4.0,3.0,2541.0,880456.0,9819.72,6059.0,0.011152993448849232,Orange
6,11446756,3.0,2.0,1491.0,107110.0,1399.27,6037.0,0.013063859583605638,Los Angeles
7,11389003,3.0,2.0,1650.0,614000.0,7673.19,6037.0,0.012497052117263843,Los Angeles
8,11967869,2.0,1.0,693.0,274237.0,3267.47,6037.0,0.011914767153958072,Los Angeles
9,11429175,4.0,2.0,1655.0,164269.0,2169.62,6037.0,0.013207726351289653,Los Angeles
11,11921077,3.0,2.0,1331.0,224906.0,4086.17,6037.0,0.01816834588672601,Los Angeles
12,11391972,3.0,2.0,1440.0,286062.0,6093.88,6037.0,0.021302654669267503,Los Angeles
13,14621355,2.0,1.5,1277.0,95442.0,998.18,6059.0,0.010458498355021897,Orange
14,11743374,4.0,1.0,2427.0,519963.0,6444.87,6037.0,0.012394862711385233,Los Angeles
15,17295416,2.0,2.0,1144.0,239109.0,3209.98,6111.0,0.01342475607358987,Ventura
16,12870253,3.0,2.0,1346.0,465102.0,5627.16,6037.0,0.012098765432098766,Los Angeles
17,11460552,3.0,2.0,1280.0,899750.0,10783.39,6037.0,0.011984873575993331,Los Angeles
18,12035176,1.0,1.0,812.0,245906.0,2926.19,6037.0,0.011899628313257912,Los Angeles
19,14236060,3.0,2.0,1668.0,196483.0,2376.34,6059.0,0.012094379666434247,Orange
20,14671963,3.0,2.5,1631.0,510311.0,7975.18,6059.0,0.01562807778002042,Orange
21,14365030,3.0,2.5,1653.0,605000.0,6185.28,6059.0,0.010223603305785124,Orange
22,14008322,3.0,1.0,879.0,141875.0,2015.78,6059.0,0.014208140969162996,Orange
23,11552513,3.0,2.0,1108.0,486866.0,5990.5,6037.0,0.012304206907033969,Los Angeles
24,12535098,3.0,2.0,1947.0,388478.0,4784.07,6037.0,0.012314905863395094,Los Angeles
25,12443331,3.0,1.0,1004.0,272154.0,3307.31,6037.0,0.012152347567921103,Los Angeles
26,12955531,4.0,3.0,3416.0,344328.0,4136.13,6037.0,0.012012180246741479,Los Angeles
27,11391577,2.0,1.0,1061.0,31839.0,412.48,6037.0,0.01295518075316436,Los Angeles
28,13880422,3.0,2.0,1306.0,203480.0,2543.86,6059.0,0.01250176921564773,Orange
29,12814323,3.0,2.0,1632.0,499402.0,5921.67,6037.0,0.011857521595828611,Los Angeles
30,10976131,3.0,3.0,2768.0,151340.0,2373.63,6037.0,0.0156840888066605,Los Angeles
31,14734602,2.0,2.0,1038.0,352000.0,4094.44,6059.0,0.011631931818181819,Orange
32,13020886,2.0,1.0,836.0,99891.0,1322.97,6037.0,0.01324413610835811,Los Angeles
33,12057023,3.0,3.0,2392.0,845708.0,9310.38,6037.0,0.011008977093748668,Los Angeles
34,13067643,2.0,2.0,1204.0,284000.0,3931.85,6037.0,0.013844542253521126,Los Angeles
35,11187927,3.0,2.0,1088.0,130679.0,2228.31,6037.0,0.01705178337758936,Los Angeles
36,11451345,3.0,2.0,1157.0,85692.0,1147.37,6037.0,0.013389464594127804,Los Angeles
37,10984661,3.0,2.0,1386.0,52560.0,777.51,6037.0,0.014792808219178081,Los Angeles
38,12196319,2.0,1.0,728.0,75227.0,1471.8,6037.0,0.01956478392066678,Los Angeles
39,11367981,3.0,2.0,1191.0,164685.0,2169.02,6037.0,0.013170719859124996,Los Angeles
40,11312124,3.0,2.0,1358.0,168626.0,3107.95,6037.0,0.01843102487160936,Los Angeles
41,10858360,2.0,2.0,1173.0,501000.0,6060.61,6037.0,0.012097025948103792,Los Angeles
43,12607366,2.0,2.0,727.0,277000.0,3186.6,6037.0,0.011503971119133575,Los Angeles
44,12532988,2.0,2.0,1401.0,348734.0,4161.1,6037.0,0.011932016952749088,Los Angeles
45,13071085,4.0,3.0,2291.0,397616.0,5284.09,6037.0,0.013289430002816788,Los Angeles
46,10732347,4.0,2.0,2115.0,115306.0,1613.84,6037.0,0.013996149376441815,Los Angeles
47,11577176,2.0,3.0,1965.0,557821.0,6432.67,6037.0,0.011531781700581369,Los Angeles
48,10722858,4.0,2.0,1570.0,373282.0,4619.79,6037.0,0.012376139219142632,Los Angeles
49,12114701,2.0,1.0,918.0,374368.0,4406.57,6037.0,0.011770690871014617,Los Angeles
50,13083743,3.0,2.0,1050.0,259334.0,3345.78,6037.0,0.012901432129994525,Los Angeles
51,17086759,3.0,2.0,1373.0,62048.0,703.0,6111.0,0.011329938112429086,Ventura
52,13921492,4.0,2.0,1485.0,63338.0,974.9,6059.0,0.015392023745618743,Orange
53,11969146,3.0,1.0,1716.0,44455.0,690.81,6037.0,0.01553953436058936,Los Angeles
54,12178305,5.0,3.0,3048.0,1150000.0,12741.62,6037.0,0.011079669565217392,Los Angeles
55,11289757,3.0,2.0,2092.0,217006.0,3221.12,6037.0,0.014843460549477895,Los Angeles
56,11961462,2.0,1.0,1184.0,46336.0,603.88,6037.0,0.013032631215469614,Los Angeles
57,12492881,3.0,2.0,1569.0,73054.0,1206.4,6037.0,0.016513811700933557,Los Angeles
58,12285822,2.0,2.0,1069.0,44826.0,997.56,6037.0,0.02225404898942578,Los Angeles
59,11141309,2.0,2.0,829.0,142745.0,2199.66,6037.0,0.015409716627552628,Los Angeles
60,12519794,4.0,2.0,1382.0,185483.0,2414.53,6037.0,0.013017527212736479,Los Angeles
61,14092694,3.0,2.0,1255.0,188730.0,2586.54,6059.0,0.013704975361627722,Orange
62,10792511,2.0,2.0,898.0,141277.0,1688.75,6037.0,0.011953467301825492,Los Angeles
63,10903921,3.0,2.0,1151.0,345877.0,4146.51,6037.0,0.011988394718353635,Los Angeles
64,11083106,3.0,2.0,1522.0,308910.0,3741.38,6037.0,0.012111553526917226,Los Angeles
65,12749741,3.0,2.0,1285.0,82374.0,1315.15,6037.0,0.01596559594046665,Los Angeles
66,11797465,2.0,1.0,865.0,280000.0,3458.73,6037.0,0.012352607142857143,Los Angeles
67,12068159,2.0,3.0,1864.0,686000.0,7529.72,6037.0,0.010976268221574345,Los Angeles
68,11733550,4.0,1.0,1356.0,37019.0,532.7,6037.0,0.014389907885140064,Los Angeles
